,Working_Year,Designation,Experience,Employment_Status,Salary_In_Rupees,Employee_Location,Company_Location,Company_Size,Remote_Working_Ratio
206,2021,Data Scientist,MI,FT,"1,026,526.00",BR,BR,S,0
207,2021,Machine Learning Engineer,SE,FT,"15,913,900.00",US,US,L,100
208,2021,Data Engineer,SE,FT,"13,128,968.00",US,US,M,0
209,2021,Data Engineer,MI,FL,"1,591,390.00",IT,US,L,0
210,2021,Data Analytics Manager,SE,FT,"9,548,340.00",US,US,L,0
211,2021,Machine Learning Engineer,MI,FT,"1,975,154.00",SI,SI,L,50
212,2021,Research Scientist,MI,FT,"4,514,614.00",FR,FR,S,50
213,2021,Data Engineer,MI,FT,"5,253,338.00",HK,GB,S,50
214,2021,Big Data Engineer,EN,FT,"468,028.00",IN,CH,L,0
215,2021,Machine Learning Engineer,EN,FT,"1,975,154.00",DE,DE,M,50
216,2021,Principal Data Engineer,SE,FT,"14,720,358.00",US,US,L,100
217,2021,Computer Vision Engineer,EN,PT,"2,276,404.00",DK,DK,S,50
218,2021,Data Scientist,MI,FT,"7,219,659.00",DE,DE,L,50
219,2021,Machine Learning Engineer,MI,FT,"7,054,154.00",BE,BE,M,100
220,2021,Data Analytics Manager,SE,FT,"11,139,730.00",US,US,L,100
221,2021,Machine Learning Engineer,MI,FT,"3,707,700.00",PL,PL,L,100
222,2021,Data Scientist,MI,FT,"9,302,789.00",GB,GB,L,50
223,2021,Data Scientist,MI,FT,"2,690,086.00",IN,IN,M,0
224,2021,Data Scientist,MI,FT,"4,476,262.00",GB,GB,L,50
225,2021,Machine Learning Scientist,SE,FT,"17,903,138.00",US,CA,L,100
226,2021,Principal Data Scientist,EX,CT,"33,100,912.00",US,US,S,100
227,2021,Data Scientist,SE,FT,"6,981,269.00",CA,CA,S,100
228,2021,Data Scientist,MI,FT,"7,054,154.00",DE,DE,L,50
229,2021,Data Scientist,SE,FT,"10,741,883.00",US,US,L,0
230,2021,Data Analyst,SE,FT,"5,711,976.00",CA,CA,M,100
231,2021,Big Data Engineer,EN,FT,"1,291,254.00",IN,IN,L,100
232,2021,ML Engineer,SE,FT,"20,369,792.00",US,US,S,100
233,2021,Director of Data Engineering,SE,FT,"15,913,900.00",US,US,L,100
234,2021,Data Analyst,SE,FT,"15,913,900.00",US,US,L,100
235,2021,Data Architect,MI,FT,"14,322,510.00",US,US,L,100
236,2021,Head of Data Science,MI,FT,"8,752,645.00",US,US,S,0
237,2021,Research Scientist,MI,FT,"5,077,330.00",CA,CA,M,100
238,2021,Data Scientist,MI,FT,"3,724,569.00",ES,ES,M,100
239,2021,Data Scientist,EN,FT,"318,278.00",VN,VN,M,0
240,2021,Data Engineer,EN,FT,"1,721,645.00",IN,IN,M,50
241,2021,Data Scientist,SE,FT,"8,250,641.00",CA,CA,L,100
242,2021,Data Analyst,MI,FT,"6,365,560.00",US,US,L,100
243,2021,Data Engineer,MI,FT,"8,752,645.00",US,US,L,100
244,2021,Data Scientist,SE,FT,"13,128,968.00",US,US,L,100
245,2021,AI Scientist,EN,FT,"1,436,468.00",IN,AS,S,100
246,2021,Data Engineer,MI,FT,"5,745,873.00",GB,GB,L,50
247,2021,Data Scientist,EN,FT,"2,915,665.00",FR,FR,L,50
248,2021,Data Engineer,MI,FT,"963,030.00",TR,TR,M,0
249,2021,Data Engineer,SE,FT,"7,661,111.00",GB,GB,L,50
250,2021,Principal Data Analyst,SE,FT,"13,526,815.00",US,US,M,100
251,2021,Data Scientist,MI,FT,"9,150,493.00",US,US,L,50
252,2021,Data Scientist,EN,FT,"7,161,255.00",US,US,S,100
253,2021,Principal Data Engineer,EX,FT,"47,741,700.00",US,US,L,100
254,2021,Data Scientist,EN,FT,"2,259,694.00",IN,IN,M,100
255,2021,Data Analyst,MI,FT,"7,399,964.00",US,US,L,100
256,2021,Big Data Architect,SE,FT,"7,933,318.00",CA,CA,M,50
257,2021,Data Engineer,MI,FT,"15,913,900.00",US,US,L,100
258,2021,Principal Data Scientist,SE,FT,"13,826,155.00",DE,DE,M,100
259,2021,Machine Learning Engineer,SE,FT,"14,720,358.00",US,US,L,50
260,2021,Director of Data Science,EX,FT,"11,286,615.00",DE,DE,L,0
261,2021,Data Scientist,MI,FT,"10,344,035.00",US,US,L,50
262,2021,Data Analyst,SE,FT,"5,079,001.00",DE,DE,L,50
263,2021,Data Scientist,MI,FT,"1,345,043.00",IN,IN,S,100
264,2021,Machine Learning Engineer,SE,FT,"5,272,673.00",IN,IN,L,0
265,2021,Data Scientist,MI,FT,"2,031,568.00",RS,DE,S,100
266,2021,Lead Data Engineer,SE,FT,"12,731,120.00",PR,US,S,50
267,2021,Data Engineer,MI,FT,"7,411,899.00",US,US,M,0
268,2021,Data Engineer,MI,FT,"8,893,881.00",US,US,M,0
269,2021,Data Engineer,MI,FT,"2,229,219.00",TR,TR,M,100
270,2021,Data Engineer,EN,FT,"5,173,052.00",DE,DE,M,50
271,2021,Data Engineer,EN,FT,"5,768,789.00",US,US,L,100
272,2021,Computer Vision Engineer,SE,FT,"1,504,421.00",BR,BR,M,0
273,2021,Data Science Consultant,EN,FT,"6,113,563.00",DE,DE,L,0
274,2021,Machine Learning Engineer,EN,FT,"6,763,408.00",NL,DE,S,100
275,2021,Data Scientist,SE,FT,"6,181,277.00",FR,FR,M,50
276,2021,Data Scientist,EN,FT,"7,956,950.00",US,US,M,100
277,2021,Data Scientist,EN,FT,"4,615,031.00",US,US,L,50
278,2021,AI Scientist,SE,FT,"4,376,323.00",ES,ES,L,100
279,2021,Data Scientist,SE,FT,"1,604,996.00",TR,TR,L,50
280,2021,Business Data Analyst,EN,FT,"4,702,717.00",LU,LU,L,100
281,2021,Data Engineer,MI,FT,"8,911,784.00",US,US,L,100
282,2021,Research Scientist,EN,FT,"7,956,950.00",JE,CN,L,0
283,2021,Data Engineer,MI,PT,"5,549,256.00",NL,NL,L,100
284,2021,Staff Data Scientist,SE,CT,"8,354,798.00",US,US,M,100
285,2021,Research Scientist,MI,FT,"5,569,785.00",CZ,CZ,L,50
286,2021,Data Science Manager,SE,FT,"7,532,447.00",IN,IN,L,50
287,2021,Head of Data,SE,FT,"8,182,848.00",SI,SI,L,100
288,2021,Data Scientist,MI,FT,"8,673,076.00",US,US,L,50
289,2021,Machine Learning Engineer,MI,FT,"4,063,137.00",IT,IT,L,50
290,2022,Data Engineer,SE,FT,"10,741,883.00",US,US,M,100
291,2022,Data Analyst,SE,FT,"12,333,273.00",US,US,M,100
292,2022,Data Analyst,SE,FT,"9,596,082.00",US,US,M,100
293,2022,Data Scientist,MI,FT,"10,344,035.00",US,US,M,0
294,2022,Data Scientist,MI,FT,"7,161,255.00",US,US,M,0
295,2022,Data Engineer,MI,FT,"13,526,815.00",US,US,M,100
296,2022,Data Engineer,MI,FT,"11,935,425.00",US,US,M,100
297,2022,Data Analyst,SE,FT,"8,124,046.00",US,US,M,100
298,2022,Data Analyst,SE,FT,"6,755,451.00",US,US,M,100
299,2022,Data Scientist,SE,FT,"10,870,785.00",US,US,M,100
300,2022,Data Scientist,SE,FT,"7,906,026.00",US,US,M,100
301,2022,Data Scientist,SE,FT,"9,372,412.00",GB,GB,M,0
302,2022,Data Scientist,SE,FT,"8,331,086.00",GB,GB,M,0
303,2022,Data Scientist,SE,FT,"11,617,147.00",US,US,M,100
304,2022,Data Scientist,SE,FT,"9,787,049.00",US,US,M,100
305,2022,Data Engineer,EN,FT,"4,165,543.00",GB,GB,M,100
306,2022,Data Analyst,SE,FT,"7,877,381.00",US,US,M,0
307,2022,Data Analyst,SE,FT,"9,230,062.00",US,US,M,0
308,2022,Data Analyst,MI,FT,"8,455,055.00",US,US,M,0
309,2022,Data Analyst,MI,FT,"10,065,542.00",US,US,M,0
310,2022,Data Engineer,EX,FT,"19,255,819.00",US,US,M,100
311,2022,Data Engineer,EX,FT,"15,913,900.00",US,US,M,100
312,2022,Data Scientist,MI,FT,"5,206,869.00",GB,GB,M,0
313,2022,Data Scientist,MI,FT,"3,124,137.00",GB,GB,M,0
314,2022,Data Engineer,MI,FT,"6,248,275.00",GB,GB,M,0
315,2022,Data Engineer,MI,FT,"4,165,543.00",GB,GB,M,0
316,2022,Data Scientist,SE,FT,"13,146,473.00",US,US,M,100
317,2022,Data Engineer,EN,FT,"3,644,840.00",GB,GB,M,100
318,2022,Data Scientist,SE,FT,"9,561,071.00",US,US,M,100
319,2022,Data Analyst,SE,FT,"7,186,717.00",US,US,M,100
320,2022,Data Engineer,SE,FT,"14,476,875.00",US,US,M,0
321,2022,Data Engineer,SE,FT,"10,528,636.00",US,US,M,0
322,2022,Data Engineer,SE,FT,"17,514,043.00",US,US,M,0
323,2022,Data Engineer,SE,FT,"12,737,486.00",US,US,M,0
324,2022,Data Scientist,SE,FT,"14,322,510.00",US,US,L,0
325,2022,Data Scientist,SE,FT,"9,548,340.00",US,US,L,0
326,2022,Data Analyst,SE,FT,"9,881,736.00",US,US,M,100
327,2022,Data Analyst,EX,FT,"10,344,035.00",US,US,M,100
328,2022,Data Analyst,EX,FT,"8,752,645.00",US,US,M,100
329,2022,Data Analyst,SE,FT,"13,526,815.00",US,US,M,100
330,2022,Data Analyst,MI,FT,"9,190,277.00",US,US,M,100
331,2022,Data Analyst,SE,FT,"8,983,397.00",US,US,M,100
332,2022,Data Analyst,SE,FT,"7,186,717.00",US,US,M,100
333,2022,Data Analyst,SE,FT,"8,983,397.00",US,US,M,100
334,2022,Data Analyst,SE,FT,"7,186,717.00",US,US,M,100
335,2022,Data Engineer,SE,FT,"13,160,795.00",US,US,M,100
336,2022,Data Engineer,SE,FT,"10,528,636.00",US,US,M,100
337,2022,Data Analyst,MI,FT,"13,288,107.00",US,US,M,100
338,2022,Data Engineer,SE,FT,"19,407,001.00",US,US,M,100
339,2022,Data Analyst,SE,FT,"10,869,194.00",US,US,M,100
340,2022,Data Analyst,SE,FT,"8,695,355.00",US,US,M,100
341,2022,Data Engineer,SE,FT,"10,254,519.00",US,US,M,100
342,2022,Data Engineer,SE,FT,"7,455,662.00",US,US,M,100
343,2022,Head of Data Science,EX,FT,"17,823,568.00",US,US,M,100
344,2022,Head of Data Science,EX,FT,"13,357,730.00",US,US,M,100
345,2022,Analytics Engineer,EX,FT,"13,924,663.00",US,US,M,100
346,2022,Data Engineer,SE,FT,"12,460,584.00",US,US,M,100
347,2022,Data Engineer,SE,FT,"8,657,162.00",US,US,M,0
348,2022,Data Scientist,SE,FT,"7,602,866.00",US,US,M,0
349,2022,Data Engineer,SE,FT,"8,991,354.00",US,US,L,0
350,2022,Data Analyst,SE,FT,"10,741,883.00",US,US,M,100
351,2022,Data Science Manager,SE,FT,"12,837,902.00",US,US,M,100
352,2022,Data Science Manager,SE,FT,"10,912,241.00",US,US,M,100
353,2022,Data Scientist,SE,FT,"13,288,107.00",US,US,M,100
354,2022,Data Scientist,SE,FT,"9,787,049.00",US,US,M,100
355,2022,Data Engineer,SE,FT,"6,248,275.00",GB,GB,M,0
356,2022,Data Engineer,SE,FT,"5,206,869.00",GB,GB,M,0
357,2022,Data Scientist,SE,FT,"11,935,425.00",US,US,M,0
358,2022,Data Scientist,SE,FT,"16,828,949.00",US,US,M,100
359,2022,Data Architect,SE,FT,"15,309,172.00",CA,CA,M,100
360,2022,Data Architect,SE,FT,"7,216,954.00",CA,CA,M,100
361,2022,Data Analyst,SE,FT,"10,344,035.00",CA,CA,M,100
362,2022,Data Analyst,SE,FT,"4,877,610.00",CA,CA,M,100
363,2022,Data Analyst,SE,FT,"10,344,035.00",CA,CA,M,100
364,2022,Data Analyst,SE,FT,"4,877,610.00",CA,CA,M,100
365,2022,Data Engineer,SE,FT,"12,731,120.00",US,US,L,0
366,2022,Data Scientist,SE,FT,"11,028,333.00",US,US,M,100
367,2022,Data Engineer,SE,FT,"10,821,452.00",US,US,M,0
368,2022,Data Analyst,MI,FT,"4,615,031.00",US,US,S,0
369,2022,Analytics Engineer,EX,FT,"10,741,883.00",US,US,M,100
370,2022,Data Scientist,SE,FT,"13,526,815.00",US,US,M,100
371,2022,Data Scientist,SE,FT,"9,787,049.00",US,US,M,100
372,2022,Machine Learning Engineer,SE,FT,"15,090,356.00",US,US,M,0
373,2022,Machine Learning Engineer,SE,FT,"13,128,649.00",US,US,M,0
374,2022,ETL Developer,MI,FT,"4,372,901.00",GR,GR,M,0
375,2022,ETL Developer,MI,FT,"4,372,901.00",GR,GR,M,0
